[diag] 5 FPS | 195.1 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 195.4 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 196.8 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 198.0 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 201.0 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 194.1 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 201.8 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 193.6 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 196.1 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 198.7 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 195.1 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 195.5 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 194.5 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 196.1 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 194.3 ms/frame | 99 draws | 10 entities
[diag] 10000000 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 3996378 FPS | 192.1 ms/frame | 99 draws | 10 entities
[diag] 1597106 FPS | 194.1 ms/frame | 99 draws | 10 entities
[diag] 638266 FPS | 193.2 ms/frame | 99 draws | 10 entities
[diag] 255078 FPS | 192.3 ms/frame | 99 draws | 10 entities
[diag] 101942 FPS | 192.5 ms/frame | 99 draws | 10 entities
[diag] 40743 FPS | 192.6 ms/frame | 99 draws | 10 entities
[diag] 16285 FPS | 192.6 ms/frame | 99 draws | 10 entities
[diag] 6511 FPS | 192.3 ms/frame | 99 draws | 10 entities
[diag] 2605 FPS | 194.3 ms/frame | 99 draws | 10 entities
[diag] 1044 FPS | 195.2 ms/frame | 99 draws | 10 entities
[diag] 420 FPS | 193.8 ms/frame | 99 draws | 10 entities
[diag] 171 FPS | 197.8 ms/frame | 99 draws | 10 entities
[diag] 71 FPS | 193.6 ms/frame | 99 draws | 10 entities
[diag] 32 FPS | 197.3 ms/frame | 99 draws | 10 entities
[diag] 0 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 191.1 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 196.5 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 195.9 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 195.1 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 195.5 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 195.7 ms/frame | 99 draws | 10 entities
